# name num_samples height width samples/width avg_x_vel var_x_vel num_pos_x_vel pen_down_samples avg_pressure max_pressure max_pressure_x max_pressure_y pressure_range max_dx avg_ddx max_dy avg_ddy num_neg_vel/Td num_pos_vel/Td
188_001_03.HWR 2237 2130 4156 0.538257940327 2.15511846223 2.15511846223 864.0 1037.0 137.248994189 501 974 280 501 1309 0.219490388914 333 0.263299061243 1.04146576663 1.11089681774
182_012_02.HWR 573 1858 3702 0.154781199352 7.13089005236 7.13089005236 188.0 559.0 301.846422339 494 1660 684 494 949 -0.422338568935 1339 1.98952879581 0.531305903399 0.45259391771
203_014_02.HWR 3160 9275 17718 0.178349700869 -7.34715189873 -7.34715189873 1192.0 1296.0 112.115506329 519 7757 2760 519 2771 -1.27943037975 2500 -0.497784810127 0.97299382716 1.15509259259
204_015_04.HWR 3009 3187 6582 0.457155879672 4.45895646394 4.45895646394 1463.0 2607.0 503.839813892 1022 -1392 -94 1022 3653 0.397141907611 1822 0.661349285477 0.537399309551 0.715765247411
195_016_04.HWR 602 1787 5050 0.119207920792 10.7707641196 10.7707641196 253.0 583.0 271.227574751 403 -287 797 403 2100 3.18272425249 804 0.626245847176 0.7512864494 0.554030874786
200_006_01.HWR 1483 4929 11122 0.133339327459 19.0074173972 19.0074173972 682.0 832.0 195.649359407 693 1133 -334 693 8641 4.29939312205 4133 2.67498314228 1.03125 1.17668269231
173_014_04.HWR 2738 1243 5811 0.471175357081 3.8188458729 3.8188458729 1141.0 1821.0 357.887143901 890 2233 -116 890 2545 -0.0978816654492 685 0.0785244704164 0.890170236134 0.767160900604
170_001_02.HWR 984 1626 4378 0.224760164459 7.4156504065 7.4156504065 456.0 559.0 327.49796748 1022 1271 -456 1022 2109 1.1575203252 578 1.15142276423 1.03398926655 1.09660107335
201_012_02.HWR 394 1608 4129 0.0954226204892 3.75888324873 3.75888324873 170.0 297.0 293.467005076 781 1008 88 781 346 -4.98223350254 137 -3.34517766497 0.794612794613 0.703703703704
174_004_04.HWR 1096 1385 3847 0.284897322589 8.86770072993 8.86770072993 520.0 747.0 339.387773723 674 -900 101 674 2936 1.84762773723 586 0.513686131387 0.73360107095 0.906291834003
191_009_03.HWR 3176 2149 4000 0.794 2.14200251889 2.14200251889 1268.0 1648.0 327.420025189 962 -1123 -333 962 1737 0.0456549118388 373 0.225125944584 1.13895631068 1.02366504854
