# log(eps) FAR FRR
-2.302585 0.000000 0.987879
-1.609438 0.000000 0.509091
-1.203973 0.000000 0.163636
-1.171183 0.000000 0.145455
-1.139434 0.000000 0.136364
-1.108663 0.000000 0.118182
-1.078810 0.000000 0.112121
-1.049822 0.000000 0.106061
-1.021651 0.000000 0.096970
-0.994252 0.008403 0.093939
-0.967584 0.016807 0.084848
-0.941609 0.016807 0.081818
-0.916291 0.016807 0.075758
-0.693147 0.050420 0.024242
-0.510826 0.092437 0.015152
-0.356675 0.151261 0.006061
-0.223144 0.176471 0.003030
-0.105361 0.260504 0.000000
