# log(eps) FAR FRR
-460.517019 0.445378 0.000000
-449.004093 0.445378 0.000000
-437.491168 0.445378 0.000000
-425.978242 0.436975 0.000000
-414.465317 0.436975 0.000000
-402.952391 0.420168 0.000000
-391.439466 0.411765 0.000000
-379.926540 0.394958 0.000000
-368.413615 0.378151 0.000000
-356.900689 0.378151 0.000000
-345.387764 0.369748 0.000000
-333.874838 0.361345 0.000000
-322.361913 0.361345 0.000000
-310.848988 0.361345 0.000000
-299.336062 0.344538 0.000000
-287.823137 0.344538 0.000000
-276.310211 0.327731 0.000000
-264.797286 0.319328 0.000000
-253.284360 0.310924 0.000000
-241.771435 0.294118 0.000000
-230.258509 0.285714 0.000000
-218.745584 0.277311 0.000000
-207.232658 0.252101 0.000000
-195.719733 0.210084 0.003030
-184.206807 0.184874 0.006061
-172.693882 0.159664 0.006061
-161.180957 0.151261 0.006061
-149.668031 0.117647 0.009091
-138.155106 0.100840 0.018182
-126.642180 0.075630 0.021212
-126.642180 0.075630 0.021212
-124.339595 0.075630 0.027273
-122.037010 0.075630 0.027273
-119.734425 0.067227 0.042424
-117.431840 0.058824 0.042424
-115.129255 0.058824 0.048485
-112.826670 0.042017 0.048485
-110.524084 0.042017 0.054545
-103.616329 0.025210 0.066667
-92.103404 0.000000 0.178788
-80.590478 0.000000 0.524242
-69.077553 0.000000 0.875758
-57.564627 0.000000 1.000000
-46.051702 0.000000 1.000000
