# log(eps) TPR FPR
-2.302585 0.012121 0.000000
-1.609438 0.490909 0.000000
-1.203973 0.836364 0.000000
-1.171183 0.854545 0.000000
-1.139434 0.863636 0.000000
-1.108663 0.881818 0.000000
-1.078810 0.887879 0.000000
-1.049822 0.893939 0.000000
-1.021651 0.903030 0.000000
-0.994252 0.906061 0.008403
-0.967584 0.915152 0.016807
-0.941609 0.918182 0.016807
-0.916291 0.924242 0.016807
-0.693147 0.975758 0.050420
-0.510826 0.984848 0.092437
-0.356675 0.993939 0.151261
-0.223144 0.996970 0.176471
-0.105361 1.000000 0.260504
