# log(eps) TPR FPR
-460.517019 1.000000 0.445378
-449.004093 1.000000 0.445378
-437.491168 1.000000 0.445378
-425.978242 1.000000 0.436975
-414.465317 1.000000 0.436975
-402.952391 1.000000 0.420168
-391.439466 1.000000 0.411765
-379.926540 1.000000 0.394958
-368.413615 1.000000 0.378151
-356.900689 1.000000 0.378151
-345.387764 1.000000 0.369748
-333.874838 1.000000 0.361345
-322.361913 1.000000 0.361345
-310.848988 1.000000 0.361345
-299.336062 1.000000 0.344538
-287.823137 1.000000 0.344538
-276.310211 1.000000 0.327731
-264.797286 1.000000 0.319328
-253.284360 1.000000 0.310924
-241.771435 1.000000 0.294118
-230.258509 1.000000 0.285714
-218.745584 1.000000 0.277311
-207.232658 1.000000 0.252101
-195.719733 0.996970 0.210084
-184.206807 0.993939 0.184874
-172.693882 0.993939 0.159664
-161.180957 0.993939 0.151261
-149.668031 0.990909 0.117647
-138.155106 0.981818 0.100840
-126.642180 0.978788 0.075630
-124.339595 0.972727 0.075630
-122.037010 0.972727 0.075630
-119.734425 0.957576 0.067227
-117.431840 0.957576 0.058824
-115.129255 0.951515 0.058824
-112.826670 0.951515 0.042017
-110.524084 0.945455 0.042017
-103.616329 0.933333 0.025210
-92.103404 0.821212 0.000000
-80.590478 0.475758 0.000000
-69.077553 0.124242 0.000000
-57.564627 0.000000 0.000000
-46.051702 0.000000 0.000000
